id,title,rating,reviews,typeLocation,link
d12273530,Nhà Thờ Chính Tòa Đà Nẵng,3.7,886,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d12273530-Reviews-Da_Nang_Catheral-Da_Nang.html
d7403837,Khách sạn Sofia Boutique Đà Nẵng,4.7,1001,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d7403837-Reviews-Sofia_Boutique_Hotel_Da_Nang-Da_Nang.html?
d14058690,Balcona Hotel Da Nang,4.9,2027,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d14058690-Reviews-Balcona_Hotel_Da_Nang-Da_Nang.html?
d15327970,Rosamia Da Nang Hotel,4.9,264,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d15327970-Reviews-Rosamia_Da_Nang_Hotel-Da_Nang.html?
d2151597,Grand Mercure Danang,4.8,3259,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d2151597-Reviews-Grand_Mercure_Danang-Da_Nang.html?
d13326393,Sheraton Grand Danang Beach Resort & Spa,4.8,1660,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13326393-Reviews-Sheraton_Grand_Danang_Beach_Resort_Spa-Da_Nang.html?
d6609499,Melia Danang Beach Resort,4.6,2078,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d6609499-Reviews-Melia_Danang_Beach_Resort-Da_Nang.html?
d8262778,Queen Spa,4.7,690,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d8262778-Reviews-Queen_Spa-Da_Nang.html
d9874032,Serene Beach Hotel Danang,5.0,1188,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d9874032-Reviews-Serene_Beach_Hotel_Danang-Da_Nang.html?
d7787334,Khách sạn Green House,4.5,279,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d7787334-Reviews-Green_House_Hotel-Da_Nang.html?
d21020893,Canvas Danang Beach Hotel,4.9,963,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d21020893-Reviews-Canvas_Danang_Beach_Hotel-Da_Nang.html?
d10153833,BlueSun Danang Beach Hotel,4.9,1006,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d10153833-Reviews-BlueSun_Danang_Beach_Hotel-Da_Nang.html?
d17695754,Chicland Hotel,4.9,651,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d17695754-Reviews-Chicland_Hotel-Da_Nang.html?
d12117671,Khách Sạn Adaline,4.4,271,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12117671-Reviews-Adaline_Hotel_Suite-Da_Nang.html?
d13846812,Altara Suites,4.7,624,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13846812-Reviews-Altara_Suites-Da_Nang.html?
d7932663,Vanda Hotel,4.7,1323,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d7932663-Reviews-Vanda_Hotel-Da_Nang.html?
d23276595,M Suite Danang,4.9,241,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d23276595-Reviews-M_Suite_Danang-Da_Nang.html?
d9813997,Helios Boutique Hotel & Spa,4.7,569,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d9813997-Reviews-Helios_Boutique_Hotel_Spa-Da_Nang.html?
d25463081,Estrella Boutique Hotel,4.9,626,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d25463081-Reviews-Estrella_Boutique_Hotel-Da_Nang.html?
d13228168,Lamuno Hotel,4.8,284,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13228168-Reviews-Lamuno_Hotel-Da_Nang.html?
d12676316,Central Hotel & Spa,4.6,220,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12676316-Reviews-Central_Hotel_Spa-Da_Nang.html?
d5038728,Khách Sạn Holiday Beach Danang,4.5,1085,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d5038728-Reviews-Holiday_Beach_Hotel_Danang-Da_Nang.html?
d15216444,Brilliant Restaurant,4.8,309,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d15216444-Reviews-Brilliant_Restaurant-Da_Nang.html
d16891462,Sala Danang Beach Hotel,4.9,2818,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d16891462-Reviews-Sala_Danang_Beach_Hotel-Da_Nang.html?
d17853463,G8 Luxury Hotel and Spa Da Nang,4.9,968,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d17853463-Reviews-G8_Luxury_Hotel_and_Spa_Da_Nang-Da_Nang.html?
d8496273,Le Rendez Vous,4.3,364,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d8496273-Reviews-Le_Rendez_Vous-Da_Nang.html
d2361273,Highlands Coffee,3.8,222,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d2361273-Reviews-Highlands_Coffee-Da_Nang.html
d13084590,New Orient Hotel,4.9,1729,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d13084590-Reviews-New_Orient_Hotel-Da_Nang.html?
d23915429,Le Sands Oceanfront Danang Hotel,5.0,1577,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d23915429-Reviews-Le_Sands_Oceanfront_Danang_Hotel-Da_Nang.html?
d12710754,Khách Sạn Eco Green Đà Nẵng,4.8,203,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12710754-Reviews-Eco_Green_Boutique_Hotel-Da_Nang.html?
d302750,Furama Resort Danang,4.7,6604,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d302750-Reviews-Furama_Resort_Danang-Da_Nang.html?
d12968948,Sky View Restaurant,4.9,640,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d12968948-Reviews-Sky_View_Restaurant-Da_Nang.html
d23848924,Bliss Hoi An Beach Resort & Wellness,4.9,886,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d23848924-Reviews-Bliss_Hoi_An_Beach_Resort_Wellness-Da_Nang.html?
d24102969,Cozy Danang Boutique Hotel,5.0,2632,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d24102969-Reviews-Cozy_Danang_Boutique_Hotel-Da_Nang.html?
d14094174,DLG Hotel Danang,4.9,1763,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d14094174-Reviews-DLG_Hotel_Danang-Da_Nang.html?
d12404186,Furama Villas Danang,4.9,1615,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12404186-Reviews-Furama_Villas_Danang-Da_Nang.html?
d12458667,Mandila Beach Hotel Danang,4.8,1512,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d12458667-Reviews-Mandila_Beach_Hotel_Danang-Da_Nang.html?
d7617524,Naman Retreat,4.8,4022,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d7617524-Reviews-Naman_Retreat-Da_Nang.html?
d17732168,Minh Boutique,4.9,302,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d17732168-Reviews-Minh_Boutique-Da_Nang.html?
d16828636,Khách sạn & Spa Salmalia Boutique,4.9,389,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d16828636-Reviews-Salmalia_Boutique_Hotel_Spa-Da_Nang.html?
d21015072,Golden Lotus Hotel,5.0,943,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d21015072-Reviews-Golden_Lotus_Hotel-Da_Nang.html?
d32989184,Koi Spa & Wellness Da Nang,5.0,206,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d32989184-Reviews-Koi_Spa_Wellness_Da_Nang-Da_Nang.html
